,Wk,Day,Date,Time,Home,Away,HomeGoals,AwayGoals,HXG,AXG,,,Attendance,Venue,Referee
128,19,Sat,21/1/2023,17:00,OFI Crete,Asteras Tripoli,1,0,0.4,0.4,,,NA,Stadio Thódoros Vardinoyánnis,
129,19,Sat,21/1/2023,20:00,Aris,Volos NFC,3,0,0.6,0.2,,,NA,Stadio Harilaou Kleánthis Vikelídis,
130,19,Sun,22/1/2023,16:00,Ionikos,AEK Athens,1,2,0.8,0.7,,,NA,Dimotiko Gipedo Neapolis Nikaias,
131,19,Sun,22/1/2023,17:00,Levadiakos,PAS Lamia,0,0,1.4,0.2,,,NA,Stadio Levadias,
132,19,Sun,22/1/2023,19:30,Panathinaikos,PAOK,0,3,0.8,1.2,,,NA,Stadio Apóstolos Nikolaidis,
133,19,Sun,22/1/2023,20:30,Atromitos,Olympiacos,1,1,0.8,1.2,,,NA,Stadio Peristeriou,
134,20,Sat,28/1/2023,19:30,Volos NFC,Panetolikos,2,3,1.2,1.8,,,NA,Dimotiko Stadio Neapolis Volou,
135,20,Sat,28/1/2023,20:00,PAS Giannina,Atromitos,1,1,1.9,0.9,,,NA,Stadio Zosimades,
136,20,Sun,29/1/2023,16:00,Olympiacos,OFI Crete,2,1,3,0.6,,,NA,Stadio Georgios Karaiskáki,
137,20,Sun,29/1/2023,19:30,AEK Athens,Aris,3,0,1.7,0.4,,,NA,Olympiako Stadio Spyros Louis,
138,20,Mon,30/1/2023,21:00,Asteras Tripoli,Panathinaikos,1,0,0.2,0.2,,,NA,Stadio Theodoros Kolokotronis,
139,20,Mon,30/1/2023,18:00,PAOK,Levadiakos,3,2,2.3,0.9,,,NA,Stadio Toumbas,
140,20,Mon,30/1/2023,19:30,PAS Lamia,Ionikos,0,2,0.4,0.4,,,NA,Dimotiko Athlitiko Kentro Lamias,
141,21,Sat,4/2/2023,,Ionikos,Aris,1,0,1.1,0.8,,,NA,Dimotiko Gipedo Neapolis Nikaias,
142,21,Sat,4/2/2023,,Levadiakos,Volos NFC,0,3,0.4,1.1,,,NA,Stadio Levadias,
143,21,Sat,4/2/2023,,Panetolikos,Asteras Tripoli,0,0,0.4,0.8,,,NA,Stadio Panetolikou,
144,21,Sat,4/2/2023,,PAOK,Olympiacos,0,0,1.5,0.2,,,NA,Stadio Toumbas,
145,21,Sat,4/2/2023,,OFI Crete,PAS Giannina,0,0,1.2,0.3,,,NA,Stadio Thódoros Vardinoyánnis,
146,21,Sat,4/2/2023,,Atromitos,AEK Athens,0,1,0.3,1.2,,,NA,Stadio Peristeriou,
147,21,Sat,4/2/2023,,Panathinaikos,PAS Lamia,2,0,1.9,0.7,,,NA,Stadio Apóstolos Nikolaidis,
148,22,Sat,11/2/2023,,Asteras Tripoli,PAOK,2,2,0.7,1.5,,,NA,Stadio Theodoros Kolokotronis,
149,22,Sat,11/2/2023,,PAS Giannina,Ionikos,0,0,1.5,0.7,,,NA,Stadio Zosimades,
150,22,Sat,11/2/2023,,Aris,Panathinaikos,1,2,0.6,0.9,,,NA,Stadio Harilaou Kleánthis Vikelídis,
151,22,Sat,11/2/2023,,Olympiacos,Panetolikos,6,1,2.1,0.6,,,NA,Stadio Georgios Karaiskáki,
